지역별(2),2015.10,2015.11,2015.12,2016.01,2016.02,2016.03,2016.04,2016.05,2016.06,2016.07,2016.08,2016.09,2016.10,2016.11,2016.12,2017.01,2017.02,2017.03,2017.04,2017.05,2017.06,2017.07,2017.08,2017.09,2017.10,2017.11,2017.12,2018.01,2018.02,2018.03,2018.04,2018.05,2018.06,2018.07,2018.08,2018.09,2018.10,2018.11,2018.12,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.10,2022.11,2022.12,2023.01,2023.02,2023.03,2023.04,2023.05,2023.06
대전,"2,347",0,0,0,0,0,301,0,0,0,0,237,"1,139",662,0,0,964,0,0,0,0,650,0,0,205,0,"1,320",231,0,0,414,0,0,0,0,136,"1,757",0,0,442,0,"2,044",0,0,820,"1,096",816,715,"1,441",0,0,0,0,0,"1,349",955,0,0,0,"1,747",0,998,0,0,418,0,336,613,316,0,0,934,304,0,743,"1,761",0,0,799,0,307,"1,349",0,0,"2,247","2,335",851,0,0,0,0,0,0
울산,"1,476","4,907",0,0,0,0,"3,059",0,0,0,0,0,"1,095","1,234","2,249",0,544,0,0,0,420,0,0,0,210,0,"1,156",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,635,0,116,0,0,0,0,"2,687",295,487,"1,966",99,0,0,0,136,0,924,"1,082",0,303,0,0,0,0,0,967,0,0,447,0,221,"1,279",0,302,0,746,711,631,0,0,95,0,352,0
세종,"1,015",0,849,0,0,0,"1,557",0,773,0,548,"2,337","1,703",345,"1,904",0,0,0,672,0,0,0,290,0,0,0,"2,795",528,0,0,"3,871",0,0,0,0,0,0,0,0,0,0,0,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458,127,0,"1,350",0,0,0,0,0,"1,350",0,0,0,0,660,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0
소계,"23,095","16,753","10,656","10,033","7,796","7,767","12,901","16,515","16,314","4,574","8,967","7,118","11,869","10,160","5,926","1,284","4,012","7,193","5,758","1,630","7,650","4,047","9,269","2,521","1,477","13,383","6,324","6,384","1,564","3,337","5,985","6,526","3,201","2,644","3,093","2,346","2,720","2,273",899,"2,787","2,880","3,495","3,674","2,912","2,053","3,601","3,714","1,603","6,226","3,218","1,428",311,"1,806","3,069","2,315","2,842","5,390","9,599","4,485","4,552","5,533","10,874","12,894",572,"4,370","12,522","8,113","6,012","8,151","8,787","5,020","5,835","9,018","18,321","15,919","7,684","2,713","2,606","7,164","9,657","4,813","5,819","11,400","10,062","10,730","4,843","5,095",0,"1,082",907,"3,067",787,"4,863"
강원,"2,607","1,582",266,"1,998",0,"1,239",0,"1,515","2,307",232,"2,018",651,"4,861",879,"2,038",881,"1,462",670,0,0,706,"1,160","2,516",206,379,"3,387",721,"3,602",0,"1,175",202,788,499,479,587,370,480,588,0,"1,556",0,"2,813",374,214,267,"1,029",0,301,0,660,0,0,578,0,525,0,0,"1,783",426,0,0,907,922,0,580,920,161,431,639,"1,441",0,"2,204","2,178",500,326,0,0,234,476,104,197,"1,225","1,927",385,811,"1,572",346,0,0,0,0,0,"1,152"
충북,"3,467","3,191","4,193",306,0,88,"2,662","2,338",577,0,786,0,246,"1,114",0,0,"1,599","1,611","2,613",0,"2,593",170,0,"1,407",0,"1,000",0,0,172,"1,112","1,466","1,041",894,"1,210",0,0,0,284,0,0,90,0,0,489,150,0,197,451,"1,148",770,201,0,0,"1,105",0,0,562,0,"2,415",0,0,"2,469","2,421",0,"1,215","2,450",711,0,"1,082",987,0,0,0,0,"2,409","3,040",0,0,"1,742","2,291",875,149,"1,757","2,549","1,019",0,"1,319",0,800,200,"2,076",0,874
충남,"2,294","5,615","1,487","2,687",182,0,"1,289",471,"1,453",60,814,0,369,337,498,174,0,480,0,0,"2,659",0,"2,562",0,72,933,482,252,0,0,64,"1,734","1,335",72,0,0,0,0,0,0,"2,267",136,0,88,381,"1,577","1,378",381,835,136,173,0,682,0,"1,554",0,"1,989","4,287","1,031","2,696","1,147","2,415","2,858",0,831,"4,739","1,984",631,"2,164","2,426","2,714",0,"1,120","3,092","1,594","3,341",853,0,0,0,195,"1,210","1,802",316,"6,898","1,600",0,0,0,0,358,787,"1,060"
전북,"4,542",553,432,328,713,"2,449",165,"1,084",248,"2,558","1,168","1,134",0,"1,290",55,0,417,"1,376",0,505,48,198,"1,466",200,405,"1,992","1,148",0,532,126,"2,064",435,0,598,331,96,338,167,0,152,0,48,"2,400",188,0,123,0,0,"1,716","1,282",0,0,0,0,43,392,386,0,0,"1,587",848,"1,224","1,405",378,0,0,0,974,794,454,188,218,0,"3,350","2,546",0,0,878,330,0,288,839,"1,316",704,"1,854",569,0,0,0,707,633,0,206
전남,"3,117",516,0,0,60,"1,027",103,47,"1,928",214,0,0,"2,124",414,380,0,310,323,0,0,0,49,0,114,434,"2,422","2,450",794,233,0,671,310,0,0,0,739,0,"1,188",0,88,116,60,599,122,975,872,"2,004",391,"1,478",141,"1,054",99,498,"1,964",96,846,163,"1,114",613,269,818,404,655,194,0,565,282,0,0,705,"1,893",238,441,"1,077","2,398",404,374,140,716,"2,821",0,"1,243",341,"2,154",0,232,0,0,72,0,0,0,0
경북,"4,293","4,441","1,600",272,"1,730","1,144",553,"2,272",983,0,"2,488","2,277",868,"1,785",0,101,0,279,371,657,"1,500",154,272,256,0,913,0,"1,736",0,68,0,"2,108",0,0,"1,970",975,"1,544",0,0,863,258,0,50,0,0,0,135,79,0,0,0,0,0,0,0,0,0,376,0,0,"1,314","3,455","4,268",0,631,0,"2,192",614,"2,843","1,305",0,"2,181","1,908","6,239","5,282",899,255,0,0,"3,602","2,681",776,310,"2,043",0,428,"1,455",0,64,0,0,0,0
경남,"2,775",727,"2,678","4,360","5,031","1,820","7,475","8,512","8,548","1,426","1,465","2,817","3,233","4,302","2,700",0,0,"2,314","2,644",468,84,"2,261","2,222",292,0,"2,535","1,335",0,545,856,"1,518",0,405,0,103,104,358,0,814,0,0,438,121,"1,712",0,0,0,0,"1,049",229,0,0,0,0,97,"1,565","2,290","1,960",0,0,"1,406",0,365,0,"1,113","3,564","2,783","3,362",629,"1,469",225,994,"3,202","3,936","1,279",0,784,"1,093","3,420",775,443,302,"3,185","1,795",55,306,"1,975",0,46,0,0,0,"1,146"
제주,0,128,0,82,80,0,654,276,270,84,228,239,168,39,255,128,224,140,130,0,60,55,231,46,187,201,188,0,82,0,0,110,68,285,102,62,0,46,85,128,149,0,130,99,280,0,0,0,0,0,0,212,48,0,0,39,0,79,0,0,0,0,0,0,0,284,0,0,0,0,0,0,169,127,85,0,447,261,480,64,134,75,762,116,93,136,0,0,100,0,0,0,425
