,2015,2016,2017,2018,2019,2020,2021,2022
국내총생산(명목GDP),"1,658,020.4","1,740,779.6","1,835,698.2","1,898,192.6","1,924,498.1","1,940,726.2","2,071,658.0","2,150,575.8"
경제성장률(실질GDP성장률),2.8,2.9,3.2,2.9,2.2,-0.7,4.1,2.6
