시점,규모,전국,서울,인천,경기,부산,대구,광주,대전,울산,세종,강원,충북,충남,전북,전남,경북,경남,제주
2021년 4분기,60㎡초과85㎡이하,166.2,173.7,150.3,151.7,185.7,194.8,187.7,155.2,161.1,143.9,151.9,131.2,138.8,134.2,164.4,153.4,148.6,278.4
2021년 4분기,85㎡초과102㎡이하,152.6,105.4,153.7,112.9,196.5,188.7,0,0,158.3,146.8,186.9,117.8,139.6,138.3,0,195.6,157.4,0
2021년 4분기,102㎡초과,144.7,0,160.8,133.5,179.5,194.3,209.9,0,0,141.5,173.9,109,142.3,139.4,0,177,123.4,0
2022년1분기,전체,166.7,157.3,152.6,152.4,183.9,199.4,193.9,164.2,179,139.6,163,134.1,143.5,143.6,175.2,160.7,152.8,249
2022년1분기,60㎡이하,161.1,167.2,146.1,168.5,182.8,185.4,175.1,167,233.9,123.1,170.9,142.6,139.3,139.5,181.3,160.3,139.6,0
2022년1분기,60㎡초과85㎡이하,167.6,165.1,152.8,160.3,186.9,198.9,194.8,165.3,179,131.1,157.5,131.2,153.9,138.3,174.3,158.9,153.3,243.8
2022년1분기,85㎡초과102㎡이하,153.5,104.8,182.2,135.8,196.5,189.6,0,0,158.3,147.3,201.4,127,139.6,138.3,0,195.6,150.1,0
2022년1분기,102㎡초과,163.9,134.4,160.1,129.4,179.5,203,210.8,0,0,140.9,192,113.6,147.9,148.5,0,177,127.7,0
2022년2분기,전체,169.9,139.4,159,157,195.1,199.4,198.6,170.9,202.6,139.6,168.1,146.7,145,152,177.9,165.8,163,249
2022년2분기,60㎡이하,160.5,148,155.2,177.2,193.8,189,160.2,168.2,207.9,123.1,175.8,154.7,141.1,143.6,181.3,166.7,152.4,0
2022년2분기,60㎡초과85㎡이하,170.7,128.4,160.1,164.2,199.8,199.6,200.2,172.2,205.4,131.1,161.2,143.7,203.9,147.3,175.9,164.8,162.4,243.8
2022년2분기,85㎡초과102㎡이하,159,104.8,182.2,134.9,173.9,198.4,0,0,190.8,147.3,218.4,137.6,155.8,138.3,0,185,183.1,0
2022년2분기,102㎡초과,161.1,134.4,161.5,138.4,201.2,216.2,210.8,0,0,140.9,211,127.3,154.4,144.4,0,160.6,136.5,0
2022년3분기,전체,173.4,138.7,171.2,164.2,195.9,203.5,198.6,177.4,202,123.9,171.3,148.4,149,155.1,184.2,170.2,163.8,278.9
2022년3분기,60㎡이하,165,143.9,166.6,187.3,195.9,192.5,183.2,179.5,207.9,123.1,178.6,171.2,145.7,144.6,178.5,167.4,160.6,0
2022년3분기,60㎡초과85㎡이하,174.7,138.8,167.8,170.9,199.9,203.6,198.1,178.6,202.4,125,160.3,145.3,207.7,150.3,181.6,169,163.2,258.2
2022년3분기,85㎡초과102㎡이하,160.9,0,186.8,190.8,173.9,201.6,0,0,190.8,0,215.5,144.2,139.9,140.3,0,183.7,179.9,0
2022년3분기,102㎡초과,164.2,134.4,161.5,144.9,201.2,219.1,234.2,0,0,125.2,223.7,124.7,156.9,149.3,0,170.7,139.8,0
2022년4분기,전체,180.4,147.2,166.5,165.7,211.7,205.1,189.1,190,206.4,143.7,199.7,156.3,158.2,158,183.5,175.1,162.1,297.1
2022년4분기,60㎡이하,187.2,152.7,160.9,193.7,215.8,210.5,206.2,185.1,256.1,143.7,176.5,171.2,178,143.2,187,171.9,179.4,0
2022년4분기,60㎡초과85㎡이하,179.1,148.7,163.4,172.2,214.5,203,188.1,190.8,203.8,144.8,180.6,153,164,152.4,181.2,174.7,161.3,287.1
2022년4분기,85㎡초과102㎡이하,167.7,124.4,167.7,182.4,151.2,190.1,0,0,244.8,0,192.9,138.4,145.3,145.5,0,170,176.6,0
2022년4분기,102㎡초과,169.7,149.1,156.7,152.6,0,240.7,0,0,0,0,211.2,128.8,158.3,156.8,0,177.8,138.8,0
2023년1분기,전체,185,151.3,163.9,175.7,208.9,207.4,215.3,193.2,207.6,143.7,203.7,158,168.3,162,189.5,178.2,163.5,307.3
2023년1분기,60㎡이하,192.1,157.8,167.8,206.4,232.4,210.5,206.2,196.2,268.5,143.7,176.5,171.9,178,143.2,172.9,188.9,184.9,0
2023년1분기,60㎡초과85㎡이하,182.2,145.2,158.4,182.6,210.8,206.5,211.5,193.1,203.7,144.8,187.9,154.1,171.8,156.2,185.8,177.7,162.8,298.7
2023년1분기,85㎡초과102㎡이하,166.2,124.4,137.6,176.9,155.6,190.1,0,0,244.8,0,192.9,137.8,145.3,145.5,0,170,186.3,0
2023년1분기,102㎡초과,172.2,163.7,126.7,184.3,160.6,216.2,242.7,0,0,0,211.2,130.7,159.5,164.8,0,177.8,141.7,0
2023년2분기,전체,189.2,157.8,164.6,186.9,224.3,206,235,202.1,202.7,143.7,195.2,157.6,168.7,169.3,194.4,180,159.2,312.9
2023년2분기,60㎡이하,196.8,158.9,165,217.9,254.9,202.4,245.4,216.1,269.1,143.7,181.5,173.2,178,142.5,172.9,202.4,166.4,0
2023년2분기,60㎡초과85㎡이하,187.1,150.7,161.1,197.1,225.8,209.1,229.2,200.5,199.7,144.8,191.9,153.1,172.5,163.3,190.8,178.9,158.2,302.6
2023년2분기,85㎡초과102㎡이하,176.2,145.7,144,179.5,191.4,186.6,0,0,244.8,0,196.2,141.4,144.8,145.5,0,146,183.8,0
2023년2분기,102㎡초과,183.3,179.7,126.7,189.4,158.8,217.9,320.5,0,0,0,216.1,132.1,159.1,167.8,0,184.8,151.2,0
